Municipi,Iniciats HPO,Acabats HPO
Cervera,89,123
Berga,44,44
Sant Julià de Vilatorta,32,16
Marganell,1,1
Miralcamp,75,31
Alella,138,77
Artesa de Lleida,21,7
"Jonquera, la",41,41
Alcanar,155,145
"Armentera, l'",16,16
Castellserà,279,0
"Torre de l'Espanyol, la",16,16
Benifallet,4,0
Sidamon,27,24
Besalú,42,18
Fortià,6,0
Sort,56,11
Olot,288,458
"Ametlla de Mar, l'",32,41
Caldes d'Estrac,1,1
Isòvol,8,8
Vall-llobrega,0,8
Sallent,102,62
Das,1,1
"Pont de Vilomara i Rocafort, el",132,44
Bagà,48,24
Avinyó,24,24
Fornells de la Selva,9,9
Manlleu,72,72
Olost,10,2
Torelló,167,125
Vilademuls,8,0
Sant Hilari Sacalm,74,40
"Torre de Cabdella, la",18,18
"Albagés, l'",2,0
Alcover,8,8
"Pobla de Mafumet, la",56,68
Bellcaire d'Urgell,5,0
Vidreres,0,8
Vilallonga del Camp,13,13
Peralada,30,0
Flix,30,15
Bolvir,7,7
"Vall de Bianya, la",4,11
Torredembarra,105,9
Palau-solità i Plegamans,117,62
"Espluga de Francolí, l'",165,0
Vilamalla,14,14
Sant Vicenç de Castellet,48,48
Begur,12,12
Ascó,1,0
Mieres,2,0
Altafulla,126,102
Cubelles,124,0
Santa Eulàlia de Riuprimer,22,22
Vilamacolum,0,1
Palamós,35,2
Saldes,2,0
Vilassar de Dalt,80,59
Riudecanyes,1,0
Sant Pol de Mar,33,33
Calldetenes,1,0
"Llacuna, la",0,8
Santa Eugènia de Berga,36,18
Oliana,9,15
Agramunt,102,51
Solsona,117,87
"Palau d'Anglesola, el",2,0
Palafolls,180,122
Puigcerdà,59,45
"Garriga, la",20,20
Benavent de Segrià,38,0
Castelldans,40,4
Sant Hipòlit de Voltregà,7,0
"Fuliola, la",18,5
Golmés,19,15
Gironella,16,7
Celrà,26,26
Torrelles de Llobregat,125,68
Vilanova de Segrià,6,6
Santa Margarida de Montbui,100,100
Cabrera de Mar,42,42
Prades,2,2
Ponts,31,23
Soriguera,1,1
"Avellanes i Santa Linya, les",21,0
Olius,1,1
Avinyonet de Puigventós,0,1
Taradell,21,21
Naut Aran,0,18
Ginestar,1,0
Vidrà,8,8
Sant Antoni de Vilamajor,2,0
Santa Coloma de Queralt,29,31
Botarell,6,0
Sant Julià de Ramis,21,21
Portbou,11,11
Sant Feliu Sasserra,9,0
Llers,13,0
Sant Vicenç de Montalt,25,0
Centelles,35,35
Alguaire,31,14
"Pla del Penedès, el",39,39
Monistrol de Montserrat,27,27
Sant Fost de Campsentelles,40,40
Albatàrrec,28,0
Sant Llorenç Savall,21,21
Calafell,110,0
Vila-sacra,0,14
Sentmenat,144,148
Mont-roig del Camp,87,0
Llavorsí,8,8
"Morell, el",52,0
Sant Guim de Freixenet,23,0
"Selva del Camp, la",0,6
Cubells,2,0
Pals,0,1
Maials,6,0
Roses,35,32
Campdevànol,36,15
Castellbell i el Vilar,20,20
Canovelles,40,40
Piera,22,22
Seròs,18,0
"Perelló, el",36,18
Figaró-Montmany,8,8
Flaçà,0,12
Santa Susanna,0,1
Sant Martí Sarroca,28,0
Linyola,85,31
"Hostalets de Pierola, els",15,0
Verdú,1,1
"Canonja, la",42,0
Vacarisses,1,1
Vallfogona de Ripollès,6,6
Tona,0,35
Castellnou de Seana,38,0
Torà,3,3
Cervelló,57,57
"Riera de Gaià, la",0,1
"Torre de Claramunt, la",6,6
"Vansa i Fórnols, la",0,9
Albesa,3,0
Boadella i les Escaules,4,0
Vilobí d'Onyar,0,1
