Any,Iniciats HPO,Acabats HPO
2002,8488,5186
2003,5073,5109
2004,6390,5887
2005,6932,5020
2006,7592,3803
2007,9201,4303
2008,10542,6315
2009,9027,6388
2010,7453,6753
2011,2767,5759
2012,1638,5147
2013,678,992
2014,992,1059
2015,1013,706
2016,879,750
2017,1057,1358
2018,1394,768
2019,1884,945
2020,1794,1207
2021,2613,1527
2022,1530,1723
2023,3491,2243
