Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.984375,0.992188,0.919271,0.975260,0.894608,30091200
2000-01-04,0.958333,0.960938,0.901042,0.949219,0.870721,30048000
2000-01-05,0.921875,0.937500,0.904948,0.917969,0.842055,18835200
2000-01-06,0.917969,0.917969,0.822917,0.858073,0.787112,12048000
2000-01-07,0.854167,0.881510,0.841146,0.872396,0.800251,7118400
2000-01-10,0.875000,0.937500,0.859375,0.901042,0.826528,23985600
2000-01-11,0.895833,0.906250,0.864583,0.864583,0.793084,14812800
2000-01-12,0.864583,0.865885,0.830729,0.842448,0.772779,12355200
2000-01-13,0.841146,0.885417,0.830729,0.877604,0.805028,13219200
2000-01-14,0.890625,0.951823,0.888021,0.915365,0.839666,60456000
2000-01-18,0.927083,0.958333,0.885417,0.954427,0.875498,26164800
2000-01-19,0.958333,0.958333,0.937500,0.945313,0.867137,16468800
2000-01-20,0.953125,1.005208,0.934896,0.942708,0.864748,17956800
2000-01-21,0.940104,0.944010,0.908854,0.932292,0.855193,54427200
2000-01-24,0.962240,0.962240,0.885417,0.890625,0.816972,25694400
2000-01-25,0.894531,0.903646,0.854167,0.882813,0.809806,23712000
2000-01-26,0.882813,0.906250,0.830729,0.846354,0.776362,23246400
2000-01-27,0.852865,0.852865,0.770833,0.802083,0.735753,45820800
2000-01-28,0.791667,0.796875,0.747396,0.778646,0.714253,19444800
2000-01-31,0.782552,0.799479,0.729167,0.772135,0.708281,18240000
2000-02-01,0.773438,0.796875,0.744792,0.790365,0.725004,9297600
2000-02-02,0.794271,0.828125,0.790365,0.812500,0.745308,14904000
2000-02-03,0.838542,0.855469,0.820313,0.825521,0.757252,10824000
2000-02-04,0.851563,0.851563,0.828125,0.845052,0.775168,12369600
2000-02-07,0.848958,0.848958,0.791667,0.792969,0.727392,21748800
2000-02-08,0.812500,0.859375,0.791667,0.830729,0.762030,46881600
2000-02-09,0.861979,0.876302,0.850260,0.851563,0.781141,58905600
2000-02-10,0.903646,1.041667,0.903646,1.026042,0.941191,97008000
2000-02-11,1.076823,1.078125,0.966146,1.041667,0.955523,42379200
2000-02-14,1.044271,1.208333,1.033854,1.208333,1.108407,65011200
2000-02-15,1.210938,1.212240,1.111979,1.161458,1.065408,45048000
2000-02-16,1.174479,1.255208,1.161458,1.214844,1.114379,101956800
2000-02-17,1.213542,1.265625,1.195313,1.257813,1.153794,53577600
2000-02-18,1.239583,1.421875,1.230469,1.403646,1.287568,96086400
2000-02-22,1.359375,1.377604,1.312500,1.364583,1.251735,54249600
2000-02-23,1.348958,1.386719,1.332031,1.372396,1.258902,51139200
2000-02-24,1.380208,1.389323,1.302083,1.359375,1.246958,24432000
2000-02-25,1.360677,1.360677,1.218750,1.274740,1.169322,27873600
2000-02-28,1.268229,1.281250,1.244792,1.265625,1.160961,51787200
2000-02-29,1.257813,1.348958,1.257813,1.333333,1.223069,30604800
2000-03-01,1.333333,1.333333,1.273438,1.294271,1.187238,38356800
2000-03-02,1.304688,1.304688,1.203125,1.207031,1.107212,19104000
2000-03-03,1.208333,1.239583,1.197917,1.226563,1.125129,27369600
2000-03-06,1.234375,1.328125,1.208333,1.218750,1.117962,43209600
2000-03-07,1.562500,1.817708,1.494792,1.735677,1.592140,195220800
2000-03-08,1.734701,1.765625,1.609375,1.750000,1.605279,66873600
2000-03-09,1.770833,2.250000,1.765625,2.089518,1.916720,95294400
2000-03-10,2.197917,3.020833,2.182292,2.458333,2.255033,216120000
2000-03-13,2.229167,3.125000,2.208333,3.109375,2.852237,241516800
2000-03-14,3.092448,3.092448,2.250000,2.294271,2.104540,156777600
2000-03-15,2.458659,2.522135,2.125000,2.200521,2.018542,99561600
2000-03-16,2.270833,2.348958,1.929688,1.961914,1.799667,75038400
2000-03-17,1.916667,2.229167,1.916341,2.080729,1.908657,55761600
2000-03-20,2.162760,2.231771,2.013021,2.079427,1.907463,36528000
2000-03-21,2.083333,2.101563,1.812500,1.976563,1.813106,53664000
2000-03-22,1.992188,2.052083,1.958333,1.990885,1.826243,23059200
2000-03-23,1.972656,2.135417,1.968750,2.026042,1.858493,30940800
2000-03-24,2.013021,2.104167,1.875000,1.941406,1.780856,23160000
2000-03-27,1.937500,2.000000,1.796875,1.813802,1.663804,38894400
2000-03-28,1.751302,1.770833,1.645833,1.678385,1.539586,39331200
2000-03-29,1.684896,1.723958,1.500000,1.567708,1.438062,46944000
2000-03-30,1.520833,1.703125,1.468750,1.558594,1.429702,36192000
2000-03-31,1.665039,1.830729,1.635417,1.760091,1.614535,96297600
2000-04-03,1.744141,1.750000,1.576823,1.622396,1.488227,32995200
2000-04-04,1.708333,1.736979,1.187500,1.562500,1.433284,51379200
2000-04-05,1.578125,2.031250,1.497396,1.910156,1.752190,63960000
2000-04-06,1.998698,2.100260,1.903646,1.998698,1.833410,40459200
2000-04-07,2.098958,2.187500,2.010417,2.136719,1.960017,31857600
2000-04-10,2.173177,2.299479,1.907552,1.947917,1.786829,39528000
2000-04-11,1.812174,1.979167,1.666667,1.832031,1.680526,45758400
2000-04-12,1.834635,1.875000,1.635417,1.641927,1.506143,31344000
2000-04-13,1.654948,1.713542,1.544271,1.571615,1.441645,31329600
2000-04-14,1.471354,1.584635,1.364583,1.433268,1.314740,42192000
2000-04-17,1.312500,1.562500,1.312500,1.506510,1.381925,29409600
2000-04-18,1.658203,1.869792,1.609375,1.773438,1.626779,47750400
2000-04-19,1.829427,1.854167,1.666667,1.688802,1.549141,27835200
2000-04-20,1.734375,1.766927,1.656250,1.679688,1.540781,15393600
2000-04-24,1.583333,1.653646,1.513021,1.596354,1.464339,20596800
2000-04-25,1.667969,1.822917,1.664063,1.770833,1.624390,24969600
2000-04-26,1.894531,1.937500,1.750000,1.752604,1.607667,25411200
2000-04-27,1.635417,1.914063,1.626302,1.895833,1.739052,28099200
2000-04-28,1.925781,2.000000,1.856771,1.856771,1.703220,17904000
2000-05-01,1.927083,1.968750,1.871094,1.916667,1.758163,11942400
2000-05-02,1.916667,2.028646,1.789063,1.842448,1.690082,23400000
2000-05-03,1.830729,1.890625,1.666667,1.812500,1.662610,32918400
2000-05-04,1.808594,1.911458,1.792969,1.834635,1.682915,24120000
2000-05-05,1.826823,1.963542,1.802083,1.919271,1.760552,17059200
2000-05-08,1.869792,1.937500,1.846354,1.848958,1.696053,18513600
2000-05-09,1.880208,1.895833,1.770833,1.822917,1.672166,17683200
2000-05-10,1.804688,1.805990,1.627604,1.643229,1.507338,27408000
2000-05-11,1.666667,1.743490,1.644531,1.713542,1.571836,24590400
2000-05-12,1.760417,1.854167,1.661458,1.661458,1.524059,18782400
2000-05-15,1.653646,1.804688,1.572917,1.776042,1.629167,28209600
2000-05-16,1.854167,2.014323,1.833333,1.958333,1.796383,36643200
2000-05-17,2.062500,2.388021,2.061198,2.302083,2.111706,129062400
2000-05-18,2.315104,2.352865,2.131510,2.145833,1.968377,50990400
2000-05-19,2.083333,2.197917,2.067708,2.127604,1.951656,52118400
2000-05-22,2.104167,2.265625,1.917969,2.265625,2.078263,51715200
2000-05-23,2.208333,2.457031,2.171875,2.247396,2.061541,77856000
2000-05-24,2.244792,2.281250,1.921875,2.218750,2.035264,73963200
2000-05-25,2.251302,2.385417,2.160156,2.187500,2.006598,56918400
2000-05-26,2.198568,2.259115,2.062500,2.198568,2.016751,18345600
2000-05-30,2.257813,2.346354,2.247396,2.289063,2.099762,30364800
2000-05-31,2.281250,2.416667,2.281250,2.377604,2.180981,46953600
2000-06-01,2.447917,2.470052,2.382813,2.444010,2.241896,41899200
2000-06-02,2.494792,2.770833,2.494792,2.740885,2.514220,59217600
2000-06-05,2.736979,2.937500,2.627604,2.799805,2.568267,49190400
2000-06-06,2.809896,2.914063,2.645833,2.660156,2.440167,37588800
2000-06-07,2.640625,2.662760,2.502604,2.541667,2.331476,33235200
2000-06-08,2.606771,2.609375,2.458333,2.561198,2.349392,46070400
2000-06-09,2.609375,2.750000,2.570313,2.634115,2.416280,46728000
2000-06-12,2.645833,2.667969,2.505208,2.563802,2.351781,38001600
2000-06-13,2.492188,2.645833,2.479167,2.644531,2.425835,44784000
2000-06-14,2.694010,2.708333,2.607096,2.641927,2.423445,27508800
2000-06-15,2.634115,2.710938,2.492188,2.710938,2.486749,33859200
