Codi IDESCAT,Codi INE,Municipi,Codi Comarca 2023,Comarca 2023,Codi Província,Província,Àmbit funcional,Any,Iniciats HPO,Acabats HPO,Longitud Municipi,Latitud Municipi,Georeferència Municipi
081075,08107,Lliçà d'Amunt,41,Vallès Oriental,08,Barcelona,Metropolità,2011,0,48,2.239433257,41.60846679,POINT (2.239433257 41.60846679)
082212,08221,Sant Just Desvern,11,Baix Llobregat,08,Barcelona,Metropolità,2021,0,38,2.075560984,41.38572828,POINT (2.075560984 41.38572828)
252347,25234,Tremp,25,Pallars Jussà,25,Lleida,Alt Pirineu i Aran,2008,0,50,0.895896972,42.16691811,POINT (0.895896972 42.16691811)
171254,17125,Pardines,31,Ripollès,17,Girona,Comarques Gironines,2012,0,4,2.214123574,42.3123746,POINT (2.214123574 42.3123746)
171485,17148,Riudarenes,34,Selva,17,Girona,Comarques Gironines,2010,16,0,2.716505285,41.82193823,POINT (2.716505285 41.82193823)
080615,08061,Castellgalí,07,Bages,08,Barcelona,Comarques Centrals,2003,0,1,1.838589454,41.67520948,POINT (1.838589454 41.67520948)
251641,25164,Penelles,23,Noguera,25,Lleida,Ponent,2011,0,9,0.965598414,41.75797244,POINT (0.965598414 41.75797244)
082798,08279,Terrassa,40,Vallès Occidental,08,Barcelona,Metropolità,2003,54,105,2.010294804,41.56295878,POINT (2.010294804 41.56295878)
081249,08124,Mollet del Vallès,41,Vallès Oriental,08,Barcelona,Metropolità,2016,0,2,2.210310853,41.53541184,POINT (2.210310853 41.53541184)
439018,43901,Deltebre,09,Baix Ebre,43,Tarragona,Terres de l'Ebre,2007,1,1,0.722777588,40.71960517,POINT (0.722777588 40.71960517)
082378,08237,Sant Quirze de Besora,24,Osona,08,Barcelona,Comarques Centrals,2008,0,20,2.22222543,42.10028539,POINT (2.22222543 42.10028539)
171864,17186,Sarrià de Ter,20,Gironès,17,Girona,Comarques Gironines,2003,1,0,2.825219512,42.01709275,POINT (2.825219512 42.01709275)
082634,08263,Sant Vicenç dels Horts,11,Baix Llobregat,08,Barcelona,Metropolità,2006,32,0,2.009712625,41.39333667,POINT (2.009712625 41.39333667)
430483,43048,Corbera d'Ebre,37,Terra Alta,43,Tarragona,Terres de l'Ebre,2003,0,1,0.47815365,41.07772916,POINT (0.47815365 41.07772916)
082384,08238,Sant Quirze del Vallès,40,Vallès Occidental,08,Barcelona,Metropolità,2005,0,48,2.080999131,41.53283954,POINT (2.080999131 41.53283954)
082457,08245,Santa Coloma de Gramenet,13,Barcelonès,08,Barcelona,Metropolità,2005,196,27,2.207934468,41.45214935,POINT (2.207934468 41.45214935)
251109,25110,Guissona,32,Segarra,25,Lleida,Ponent,2023,0,1,1.288303003,41.78464838,POINT (1.288303003 41.78464838)
172214,17221,Vilafant,02,Alt Empordà,17,Girona,Comarques Gironines,2003,1,0,2.937795096,42.24663345,POINT (2.937795096 42.24663345)
080193,08019,Barcelona,13,Barcelonès,08,Barcelona,Metropolità,2012,306,1081,2.177241106,41.38240539,POINT (2.177241106 41.38240539)
081017,08101,"Hospitalet de Llobregat, l'",13,Barcelonès,08,Barcelona,Metropolità,2021,20,93,2.099712098,41.35945967,POINT (2.099712098 41.35945967)
431233,43123,Reus,08,Baix Camp,43,Tarragona,Camp de Tarragona,2005,76,144,1.108491969,41.15501639,POINT (1.108491969 41.15501639)
082188,08218,Sant Joan de Vilatorrada,07,Bages,08,Barcelona,Comarques Centrals,2020,0,5,1.804848323,41.74550716,POINT (1.804848323 41.74550716)
171805,17180,Santa Coloma de Farners,34,Selva,17,Girona,Comarques Gironines,2003,1,26,2.662775243,41.86149583,POINT (2.662775243 41.86149583)
252173,25217,Tàrrega,38,Urgell,25,Lleida,Ponent,2012,0,38,1.139054429,41.64628389,POINT (1.139054429 41.64628389)
170622,17062,"Escala, l'",02,Alt Empordà,17,Girona,Comarques Gironines,2010,24,0,3.133767625,42.12505878,POINT (3.133767625 42.12505878)
080898,08089,Gavà,11,Baix Llobregat,08,Barcelona,Metropolità,2010,79,0,2.004774201,41.30611887,POINT (2.004774201 41.30611887)
430445,43044,"Sénia, la",22,Montsià,43,Tarragona,Terres de l'Ebre,2003,18,0,0.285251665,40.63332816,POINT (0.285251665 40.63332816)
081923,08192,Santpedor,07,Bages,08,Barcelona,Comarques Centrals,2023,0,1,1.839177662,41.78327337,POINT (1.839177662 41.78327337)
439023,43902,Sant Jaume d'Enveja,22,Montsià,43,Tarragona,Terres de l'Ebre,2008,25,0,0.717018049,40.70504003,POINT (0.717018049 40.70504003)
080060,08006,Arenys de Mar,21,Maresme,08,Barcelona,Metropolità,2022,0,1,2.551624094,41.57953396,POINT (2.551624094 41.57953396)
439044,43904,"Aldea, l'",09,Baix Ebre,43,Tarragona,Terres de l'Ebre,2004,0,20,0.620293809,40.74589422,POINT (0.620293809 40.74589422)
081944,08194,Sant Adrià de Besòs,13,Barcelonès,08,Barcelona,Metropolità,2004,317,21,2.217787409,41.43006742,POINT (2.217787409 41.43006742)
250122,25012,Alcoletge,33,Segrià,25,Lleida,Ponent,2010,3,59,0.694256215,41.6470102,POINT (0.694256215 41.6470102)
081923,08192,Santpedor,07,Bages,08,Barcelona,Comarques Centrals,2010,0,15,1.839177662,41.78327337,POINT (1.839177662 41.78327337)
430167,43016,"Arboç, l'",12,Baix Penedès,43,Tarragona,Penedès,2003,88,16,1.603603923,41.26750259,POINT (1.603603923 41.26750259)
250138,25013,Alfarràs,33,Segrià,25,Lleida,Ponent,2008,24,0,0.56965673,41.82999269,POINT (0.56965673 41.82999269)
082114,08211,Sant Feliu de Llobregat,11,Baix Llobregat,08,Barcelona,Metropolità,2008,170,104,2.046230144,41.38195325,POINT (2.046230144 41.38195325)
170221,17022,"Bisbal d'Empordà, la",10,Baix Empordà,17,Girona,Comarques Gironines,2022,0,1,3.038149687,41.95930116,POINT (3.038149687 41.95930116)
082384,08238,Sant Quirze del Vallès,40,Vallès Occidental,08,Barcelona,Metropolità,2014,0,43,2.080999131,41.53283954,POINT (2.080999131 41.53283954)
430712,43071,Horta de Sant Joan,37,Terra Alta,43,Tarragona,Terres de l'Ebre,2010,0,18,0.31686019,40.95383083,POINT (0.31686019 40.95383083)
430206,43020,Banyeres del Penedès,12,Baix Penedès,43,Tarragona,Penedès,2006,39,0,1.580800344,41.27936622,POINT (1.580800344 41.27936622)
082401,08240,Sant Sadurní d'Anoia,03,Alt Penedès,08,Barcelona,Penedès,2006,0,56,1.787300544,41.42421161,POINT (1.787300544 41.42421161)
081878,08187,Sabadell,40,Vallès Occidental,08,Barcelona,Metropolità,2007,714,207,2.108551925,41.54637803,POINT (2.108551925 41.54637803)
251214,25121,Les,39,Val d'Aran,25,Lleida,Alt Pirineu i Aran,2004,10,0,0.709878949,42.81015343,POINT (0.709878949 42.81015343)
082515,08251,Santa Margarida i els Monjos,03,Alt Penedès,08,Barcelona,Penedès,2010,0,40,1.663058723,41.32137517,POINT (1.663058723 41.32137517)
171175,17117,Palafrugell,10,Baix Empordà,17,Girona,Comarques Gironines,2002,49,51,3.164065976,41.91495458,POINT (3.164065976 41.91495458)
081672,08167,Polinyà,40,Vallès Occidental,08,Barcelona,Metropolità,2018,0,16,2.156245284,41.55760939,POINT (2.156245284 41.55760939)
431188,43118,Pratdip,08,Baix Camp,43,Tarragona,Camp de Tarragona,2008,0,7,0.871294807,41.05117875,POINT (0.871294807 41.05117875)
430593,43059,Figuerola del Camp,01,Alt Camp,43,Tarragona,Camp de Tarragona,2009,0,1,1.26531658,41.37191524,POINT (1.26531658 41.37191524)
171805,17180,Santa Coloma de Farners,34,Selva,17,Girona,Comarques Gironines,2023,0,3,2.662775243,41.86149583,POINT (2.662775243 41.86149583)
080581,08058,Castellet i la Gornal,03,Alt Penedès,08,Barcelona,Penedès,2009,9,0,1.590703884,41.25340002,POINT (1.590703884 41.25340002)
082114,08211,Sant Feliu de Llobregat,11,Baix Llobregat,08,Barcelona,Metropolità,2007,170,0,2.046230144,41.38195325,POINT (2.046230144 41.38195325)
080425,08042,Cànoves i Samalús,41,Vallès Oriental,08,Barcelona,Metropolità,2009,0,7,2.352943715,41.69391937,POINT (2.352943715 41.69391937)
171208,17120,Palau-saverdera,02,Alt Empordà,17,Girona,Comarques Gironines,2002,0,1,3.14812057,42.30735638,POINT (3.14812057 42.30735638)
082798,08279,Terrassa,40,Vallès Occidental,08,Barcelona,Metropolità,2019,41,5,2.010294804,41.56295878,POINT (2.010294804 41.56295878)
430862,43086,Montblanc,16,Conca de Barberà,43,Tarragona,Camp de Tarragona,2005,66,0,1.161386523,41.37677696,POINT (1.161386523 41.37677696)
171426,17142,Quart,20,Gironès,17,Girona,Comarques Gironines,2010,0,56,2.839936624,41.93976947,POINT (2.839936624 41.93976947)
170388,17038,Campllong,20,Gironès,17,Girona,Comarques Gironines,2008,9,0,2.831229783,41.89271449,POINT (2.831229783 41.89271449)
170221,17022,"Bisbal d'Empordà, la",10,Baix Empordà,17,Girona,Comarques Gironines,2004,147,1,3.038149687,41.95930116,POINT (3.038149687 41.95930116)
170890,17089,Llagostera,20,Gironès,17,Girona,Comarques Gironines,2023,0,17,2.891817464,41.82881009,POINT (2.891817464 41.82881009)
081234,08123,Molins de Rei,11,Baix Llobregat,08,Barcelona,Metropolità,2023,79,61,2.015962183,41.41359396,POINT (2.015962183 41.41359396)
251109,25110,Guissona,32,Segarra,25,Lleida,Ponent,2007,37,0,1.288303003,41.78464838,POINT (1.288303003 41.78464838)
431233,43123,Reus,08,Baix Camp,43,Tarragona,Camp de Tarragona,2003,186,207,1.108491969,41.15501639,POINT (1.108491969 41.15501639)
250349,25034,Artesa de Segre,23,Noguera,25,Lleida,Ponent,2007,23,0,1.045473965,41.89543837,POINT (1.045473965 41.89543837)
081960,08196,Sant Andreu de la Barca,11,Baix Llobregat,08,Barcelona,Metropolità,2013,37,54,1.971403604,41.44999966,POINT (1.971403604 41.44999966)
081075,08107,Lliçà d'Amunt,41,Vallès Oriental,08,Barcelona,Metropolità,2012,0,16,2.239433257,41.60846679,POINT (2.239433257 41.60846679)
082303,08230,Premià de Dalt,21,Maresme,08,Barcelona,Metropolità,2009,35,0,2.34246115,41.50731101,POINT (2.34246115 41.50731101)
080771,08077,Esplugues de Llobregat,11,Baix Llobregat,08,Barcelona,Metropolità,2023,177,0,2.087992375,41.37769777,POINT (2.087992375 41.37769777)
171997,17199,Torroella de Montgrí,10,Baix Empordà,17,Girona,Comarques Gironines,2004,0,43,3.12637678,42.04101493,POINT (3.12637678 42.04101493)
171215,17121,Palau-sator,10,Baix Empordà,17,Girona,Comarques Gironines,2011,0,4,3.111179563,41.98932789,POINT (3.111179563 41.98932789)
252304,25230,Torregrossa,27,Pla d'Urgell,25,Lleida,Ponent,2009,14,0,0.831905372,41.58011517,POINT (0.831905372 41.58011517)
252326,25232,Torres de Segre,33,Segrià,25,Lleida,Ponent,2014,0,11,0.512600714,41.53516991,POINT (0.512600714 41.53516991)
431233,43123,Reus,08,Baix Camp,43,Tarragona,Camp de Tarragona,2004,196,24,1.108491969,41.15501639,POINT (1.108491969 41.15501639)
080018,08001,Abrera,11,Baix Llobregat,08,Barcelona,Metropolità,2007,178,0,1.902237925,41.5162579,POINT (1.902237925 41.5162579)
082665,08266,Cerdanyola del Vallès,40,Vallès Occidental,08,Barcelona,Metropolità,2008,136,0,2.140715332,41.49102342,POINT (2.140715332 41.49102342)
081206,08120,Matadepera,40,Vallès Occidental,08,Barcelona,Metropolità,2009,0,36,2.026747357,41.59664189,POINT (2.026747357 41.59664189)
251713,25171,"Pobla de Segur, la",25,Pallars Jussà,25,Lleida,Alt Pirineu i Aran,2008,48,48,0.969082431,42.24995562,POINT (0.969082431 42.24995562)
081265,08126,Montgat,21,Maresme,08,Barcelona,Metropolità,2002,108,0,2.278681615,41.4669452,POINT (2.278681615 41.4669452)
252326,25232,Torres de Segre,33,Segrià,25,Lleida,Ponent,2010,35,0,0.512600714,41.53516991,POINT (0.512600714 41.53516991)
252173,25217,Tàrrega,38,Urgell,25,Lleida,Ponent,2002,16,12,1.139054429,41.64628389,POINT (1.139054429 41.64628389)
251207,25120,Lleida,33,Segrià,25,Lleida,Ponent,2018,16,0,0.626842574,41.61473059,POINT (0.626842574 41.61473059)
431613,43161,Valls,01,Alt Camp,43,Tarragona,Camp de Tarragona,2010,9,0,1.247623975,41.28430482,POINT (1.247623975 41.28430482)
082009,08200,Sant Boi de Llobregat,11,Baix Llobregat,08,Barcelona,Metropolità,2022,77,0,2.042704219,41.34752428,POINT (2.042704219 41.34752428)
251207,25120,Lleida,33,Segrià,25,Lleida,Ponent,2023,79,26,0.626842574,41.61473059,POINT (0.626842574 41.61473059)
081976,08197,Sant Andreu de Llavaneres,21,Maresme,08,Barcelona,Metropolità,2007,36,0,2.483347205,41.57445867,POINT (2.483347205 41.57445867)
170950,17095,Lloret de Mar,34,Selva,17,Girona,Comarques Gironines,2008,28,0,2.847602852,41.69861565,POINT (2.847602852 41.69861565)
082310,08231,Sant Pere de Ribes,17,Garraf,08,Barcelona,Penedès,2017,0,1,1.772114573,41.26230332,POINT (1.772114573 41.26230332)
080446,08044,Capellades,06,Anoia,08,Barcelona,Penedès,2009,8,0,1.685814119,41.53091212,POINT (1.685814119 41.53091212)
251207,25120,Lleida,33,Segrià,25,Lleida,Ponent,2015,19,7,0.626842574,41.61473059,POINT (0.626842574 41.61473059)
171557,17155,Salt,20,Gironès,17,Girona,Comarques Gironines,2008,40,34,2.792056075,41.97505395,POINT (2.792056075 41.97505395)
430635,43063,"Galera, la",22,Montsià,43,Tarragona,Terres de l'Ebre,2006,1,0,0.463731007,40.68155614,POINT (0.463731007 40.68155614)
171609,17160,Sant Feliu de Guíxols,10,Baix Empordà,17,Girona,Comarques Gironines,2004,18,0,3.028398912,41.7804477,POINT (3.028398912 41.7804477)
080863,08086,"Franqueses del Vallès, les",41,Vallès Oriental,08,Barcelona,Metropolità,2019,13,21,2.297161105,41.63630673,POINT (2.297161105 41.63630673)
431080,43108,"Pla de Santa Maria, el",01,Alt Camp,43,Tarragona,Camp de Tarragona,2005,82,0,1.288826246,41.36535634,POINT (1.288826246 41.36535634)
081265,08126,Montgat,21,Maresme,08,Barcelona,Metropolità,2014,0,44,2.278681615,41.4669452,POINT (2.278681615 41.4669452)
171479,17147,Ripoll,31,Ripollès,17,Girona,Comarques Gironines,2002,32,0,2.19075318,42.20104761,POINT (2.19075318 42.20104761)
081017,08101,"Hospitalet de Llobregat, l'",13,Barcelonès,08,Barcelona,Metropolità,2014,125,153,2.099712098,41.35945967,POINT (2.099712098 41.35945967)
171096,17109,Montagut i Oix,19,Garrotxa,17,Girona,Comarques Gironines,2007,0,1,2.59616617,42.23146439,POINT (2.59616617 42.23146439)
080109,08010,Artés,07,Bages,08,Barcelona,Comarques Centrals,2008,79,14,1.95486944,41.79813699,POINT (1.95486944 41.79813699)
081574,08157,Pallejà,11,Baix Llobregat,08,Barcelona,Metropolità,2008,0,40,1.996775252,41.4225799,POINT (1.996775252 41.4225799)
170715,17071,Fontcoberta,28,Pla de l'Estany,17,Girona,Comarques Gironines,2003,0,1,2.789517726,42.14286976,POINT (2.789517726 42.14286976)
250582,25058,"Borges Blanques, les",18,Garrigues,25,Lleida,Ponent,2007,0,6,0.86916301,41.5206285,POINT (0.86916301 41.5206285)
171426,17142,Quart,20,Gironès,17,Girona,Comarques Gironines,2008,12,45,2.839936624,41.93976947,POINT (2.839936624 41.93976947)
250117,25011,Alcarràs,33,Segrià,25,Lleida,Ponent,2005,0,1,0.524318402,41.56287362,POINT (0.524318402 41.56287362)
083073,08307,Vilanova i la Geltrú,17,Garraf,08,Barcelona,Penedès,2008,0,62,1.726180234,41.22411114,POINT (1.726180234 41.22411114)
431554,43155,Tortosa,09,Baix Ebre,43,Tarragona,Terres de l'Ebre,2003,48,34,0.520955976,40.810905,POINT (0.520955976 40.810905)
081803,08180,Ripollet,40,Vallès Occidental,08,Barcelona,Metropolità,2004,21,21,2.15349201,41.49650163,POINT (2.15349201 41.49650163)
081574,08157,Pallejà,11,Baix Llobregat,08,Barcelona,Metropolità,2009,0,31,1.996775252,41.4225799,POINT (1.996775252 41.4225799)
252252,25225,Tornabous,38,Urgell,25,Lleida,Ponent,2009,2,0,1.05285368,41.70153249,POINT (1.05285368 41.70153249)
431233,43123,Reus,08,Baix Camp,43,Tarragona,Camp de Tarragona,2010,92,18,1.108491969,41.15501639,POINT (1.108491969 41.15501639)
251207,25120,Lleida,33,Segrià,25,Lleida,Ponent,2013,0,34,0.626842574,41.61473059,POINT (0.626842574 41.61473059)
431233,43123,Reus,08,Baix Camp,43,Tarragona,Camp de Tarragona,2007,17,32,1.108491969,41.15501639,POINT (1.108491969 41.15501639)
430141,43014,Amposta,22,Montsià,43,Tarragona,Terres de l'Ebre,2006,42,108,0.581007048,40.71345238,POINT (0.581007048 40.71345238)
080425,08042,Cànoves i Samalús,41,Vallès Oriental,08,Barcelona,Metropolità,2007,0,4,2.352943715,41.69391937,POINT (2.352943715 41.69391937)
080543,08054,Castellbisbal,40,Vallès Occidental,08,Barcelona,Metropolità,2005,1,0,1.981226635,41.47487524,POINT (1.981226635 41.47487524)
080863,08086,"Franqueses del Vallès, les",41,Vallès Oriental,08,Barcelona,Metropolità,2012,4,5,2.297161105,41.63630673,POINT (2.297161105 41.63630673)
080403,08040,Canet de Mar,21,Maresme,08,Barcelona,Metropolità,2002,0,40,2.582425003,41.58848471,POINT (2.582425003 41.58848471)
252445,25244,Vilagrassa,38,Urgell,25,Lleida,Ponent,2012,8,0,1.106432042,41.64824278,POINT (1.106432042 41.64824278)
082652,08265,Sant Vicenç de Torelló,24,Osona,08,Barcelona,Comarques Centrals,2004,18,0,2.274015277,42.06260072,POINT (2.274015277 42.06260072)
170926,17092,Llançà,02,Alt Empordà,17,Girona,Comarques Gironines,2009,0,44,3.150763207,42.36201125,POINT (3.150763207 42.36201125)
081249,08124,Mollet del Vallès,41,Vallès Oriental,08,Barcelona,Metropolità,2018,80,0,2.210310853,41.53541184,POINT (2.210310853 41.53541184)
170792,17079,Girona,20,Gironès,17,Girona,Comarques Gironines,2005,121,26,2.824865628,41.98315544,POINT (2.824865628 41.98315544)
171334,17133,"Planes d'Hostoles, les",19,Garrotxa,17,Girona,Comarques Gironines,2003,6,1,2.536909351,42.05593631,POINT (2.536909351 42.05593631)
081189,08118,"Masnou, el",21,Maresme,08,Barcelona,Metropolità,2006,18,18,2.319018119,41.47916172,POINT (2.319018119 41.47916172)
082384,08238,Sant Quirze del Vallès,40,Vallès Occidental,08,Barcelona,Metropolità,2003,78,0,2.080999131,41.53283954,POINT (2.080999131 41.53283954)
082652,08265,Sant Vicenç de Torelló,24,Osona,08,Barcelona,Comarques Centrals,2020,6,0,2.274015277,42.06260072,POINT (2.274015277 42.06260072)
080207,08020,Begues,11,Baix Llobregat,08,Barcelona,Metropolità,2008,33,18,1.924677961,41.33017397,POINT (1.924677961 41.33017397)
081878,08187,Sabadell,40,Vallès Occidental,08,Barcelona,Metropolità,2009,280,119,2.108551925,41.54637803,POINT (2.108551925 41.54637803)
170329,17032,Cadaqués,02,Alt Empordà,17,Girona,Comarques Gironines,2023,0,8,3.275849152,42.28825155,POINT (3.275849152 42.28825155)
430167,43016,"Arboç, l'",12,Baix Penedès,43,Tarragona,Penedès,2007,18,0,1.603603923,41.26750259,POINT (1.603603923 41.26750259)
170947,17094,Llívia,15,Cerdanya,17,Girona,Alt Pirineu i Aran,2011,85,0,1.981799668,42.46507864,POINT (1.981799668 42.46507864)
252173,25217,Tàrrega,38,Urgell,25,Lleida,Ponent,2004,1,25,1.139054429,41.64628389,POINT (1.139054429 41.64628389)
083020,08302,Vilanova del Camí,06,Anoia,08,Barcelona,Penedès,2006,88,0,1.634199238,41.57225855,POINT (1.634199238 41.57225855)
081846,08184,Rubí,40,Vallès Occidental,08,Barcelona,Metropolità,2007,30,0,2.031335058,41.49348467,POINT (2.031335058 41.49348467)
431711,43171,Vila-seca,36,Tarragonès,43,Tarragona,Camp de Tarragona,2005,94,60,1.144805793,41.11094923,POINT (1.144805793 41.11094923)
170237,17023,Blanes,34,Selva,17,Girona,Comarques Gironines,2002,0,77,2.791605671,41.67403461,POINT (2.791605671 41.67403461)
250411,25041,Barbens,27,Pla d'Urgell,25,Lleida,Ponent,2008,12,0,1.018365545,41.67921889,POINT (1.018365545 41.67921889)
080193,08019,Barcelona,13,Barcelonès,08,Barcelona,Metropolità,2003,1328,936,2.177241106,41.38240539,POINT (2.177241106 41.38240539)
081944,08194,Sant Adrià de Besòs,13,Barcelonès,08,Barcelona,Metropolità,2006,39,186,2.217787409,41.43006742,POINT (2.217787409 41.43006742)
430206,43020,Banyeres del Penedès,12,Baix Penedès,43,Tarragona,Penedès,2011,0,26,1.580800344,41.27936622,POINT (1.580800344 41.27936622)
083008,08300,Viladecavalls,40,Vallès Occidental,08,Barcelona,Metropolità,2023,0,5,1.954375361,41.55533046,POINT (1.954375361 41.55533046)
082606,08260,Santa Perpètua de Mogoda,40,Vallès Occidental,08,Barcelona,Metropolità,2013,30,35,2.183444726,41.53457583,POINT (2.183444726 41.53457583)
082080,08208,Sant Esteve Sesrovires,11,Baix Llobregat,08,Barcelona,Metropolità,2007,75,0,1.874365808,41.49324532,POINT (1.874365808 41.49324532)
430477,43047,Constantí,36,Tarragonès,43,Tarragona,Camp de Tarragona,2005,0,27,1.213727473,41.15308728,POINT (1.213727473 41.15308728)
